index,reviewer_name,review_id,profile_href,star,time,text
243,Andréanne Racine,ChdDSUhNMG9nS0VJQ0FnSUR1dC1fdzhnRRAB,https://www.google.com/maps/contrib/110041625485970765431/reviews?hl=en-US,5,       3 months ago      ,"        Legit la meilleure poutine de ma vie! :o
Énorme respect au créateur de ces merveilles culinaire 🙏🏼. Merci de faire tripper autant de monde. Tout goûte le ciel sans blagues! Party dans la bouche garanti!!! 12/10 (Translated by Google)
Legit the best poutine of my life! :o
Huge respect to the creator of these culinary wonders 🙏🏼. Thank you for making so many people trip. Everything tastes heaven no jokes! Party in the mouth guaranteed!!! 12/10
     
"
244,Salomé AB,ChZDSUhNMG9nS0VJQ0FnSUMtcGUzUmJ3EAE,https://www.google.com/maps/contrib/105358977219526383526/reviews?hl=en-US,5,       a month ago      ,"        De la soupe tonkinoise à la poutine revisitée : j’ai été super satisfaite! Effectivement LA meilleure option pour du comfort food asiatique. (coup de coeur personnel pour leur drink « C’est saké ça » et leur poutine tonki) (Translated by Google)
From Tonkinese soup to revisited poutine: I was super satisfied! Indeed THE best option for Asian comfort food. (personal favorite for their ""C'est saké ça"" drink and their tonki poutine)
     
"
245,Félix Milot,ChZDSUhNMG9nS0VJQ0FnSUQtNnNMTVZnEAE,https://www.google.com/maps/contrib/103032049014608107319/reviews?hl=en-US,5,       3 weeks ago      ,"        Service impeccable de Sandrine, Fanou et Simon. Le staff est toujours très courtois et service personnalisé. Les recommandations sont parfaites, le prix est excellent. ON REVIENT BIENTÔT XOX  gossip gurlll. Prenez le SOJU A PÊCHE 🍑 (Translated by Google)
Impeccable service from Sandrine, Fanou and Simon. The staff is always very courteous and personalized service. The recommendations are perfect, the price is excellent. WE'LL BE BACK SOON XOX gossip gurll. Take the FISHING SOJU 🍑
     
"
246,Xavier Bernet,ChdDSUhNMG9nS0VJQ0FnSUQyNk4yT3B3RRAB,https://www.google.com/maps/contrib/112451108777197746546/reviews?hl=en-US,5,       7 months ago      ,"        Bonne bouffe, belle ambiance, staff incroyable, accommodant pour notre jeune bébé lors de la réservation en salle, rapidité de réponse de l'équipe lors de commande en ligne. Les proprios sont fantastiques également. Restaurant qui se démarque en tout point. Toujours un plaisir de les encourager! Parfait pour toutes les occasions : anniversaire entre amis, souper de famille, repas entre collègues, etc. Bref, Allez y sans hésiter!
Merci la Belle Tonki :) (Translated by Google)
Good food, nice atmosphere, incredible staff, accommodating for our young baby when booking in the dining room, quick response from the team when ordering online. The owners are also fantastic. Restaurant that stands out in every way. Always a pleasure to support them! Perfect for all occasions: birthday with friends, family dinner, meal with colleagues, etc. In short, go there without hesitation!
Thank you Beautiful Tonki :)
     
"
247,Tony Quin NGUYEN,ChdDSUhNMG9nS0VJQ0FnSUNVcXN6OC1nRRAB,https://www.google.com/maps/contrib/115144861581187765883/reviews?hl=en-US,5,       2 weeks ago      ,"        Meilleur restaurant de fusions viets au Québec ! Le service est super, la cuisine est très originale et bonne ! (Translated by Google)
Best Vietnamese fusion restaurant in Quebec! The service is great, the cuisine is very original and good!
     
"
248,Félix Boulet,ChdDSUhNMG9nS0VJQ0FnSUNhN1phT3NBRRAB,https://www.google.com/maps/contrib/106588621541258799938/reviews?hl=en-US,4,       a year ago      ,"        Les deux poutines offertes sont excellentes, le service est rapide et amical, l'ambiance sur la terrasse est sympathique... mais c'est trop dispendieux pour les portions offertes. 16$ pour l'équivalent d'une mini-poutine ailleurs c'est un peu décevant... (Translated by Google)
The two poutines offered are excellent, the service is fast and friendly, the atmosphere on the terrace is friendly ... but it's too expensive for the portions offered. $ 16 for the equivalent of a mini-poutine elsewhere is a bit disappointing ...
     
"
249,Mylène Lefebvre,ChdDSUhNMG9nS0VJQ0FnSUNPdGFfVzJ3RRAB,https://www.google.com/maps/contrib/110511890854059874667/reviews?hl=en-US,5,       6 months ago      ,"        Quelle belle découverte !!! Belle ambiance, deco qu'on ne peut s'empêcher de prendre en photo, personnel chaleureux et sympathique et que dire du menu....on voulait tout!!! Mini bémol, j'aurais pris la musique un brin moins forte. J'y retourne avec mes filles bientôt c'est sûre. (Translated by Google)
What a great discovery!!! Beautiful atmosphere, deco that you can't help but take a picture of, warm and friendly staff and what about the menu....we wanted it all!!! Mini downside, I would have taken the music a bit less strong. I'm going back with my daughters soon for sure.
     
"
250,Noémi Côté-Cyr,ChZDSUhNMG9nS0VJQ0FnSUQtdy1Mb0N3EAE,https://www.google.com/maps/contrib/103879319676302246199/reviews?hl=en-US,5,       a week ago      ,"        Belle ambiance, super service et bonne bouffe! (Translated by Google)
Nice atmosphere, great service and great food!
     
"
251,Élisabeth M,ChZDSUhNMG9nS0VJQ0FnSURPbXBXS0l3EAE,https://www.google.com/maps/contrib/103073318425980615594/reviews?hl=en-US,2,       5 months ago      ,"        La qualité de la nourriture est bien mais sans plus, portions insuffisantes et trop dispendieuse.
Alcool beaucoup trop cher pour le produit et noms trompeurs.
Le Staff était tellement dérangeant, manquait de communication, leur téléphone sonnait à table...
commande perdue ect ... (Translated by Google)
The quality of the food is good but nothing more, insufficient portions and too expensive.
Alcohol far too expensive for the product and misleading names.
The Staff was so disturbing, lacked communication, their phone was ringing at the table...
lost order etc...
     
"
252,Sophie Renard,ChdDSUhNMG9nS0VJQ0FnSUQ2NUlTSWpRRRAB,https://www.google.com/maps/contrib/114722366229014673711/reviews?hl=en-US,5,       a year ago      ,"        Si le pouvais donner 10 étoiles sur 5 je le ferai! Si tu recherches de la bonne bouffe (l'essentiel!), un personnel super sympa, une ambiance de folie ... Tu sais où aller! (Translated by Google)
If I could give 10 out of 5 stars I would! If you are looking for good food (the essentials!), A super nice staff, a crazy atmosphere ... You know where to go!
     
"
253,Daphnée Simard,ChZDSUhNMG9nS0VJQ0FnSURPMS12a1dREAE,https://www.google.com/maps/contrib/118307344163040308468/reviews?hl=en-US,5,       5 months ago      ,"        Quelle belle surprise!!
Personnel accueillant et sympathique, belle ambiance, bouffe écoeurante!! Service rapide!! J'ai mangé le Mee Kola et c'était délicieux!!! On y retourne c'est sûr et cette fois j'essaie le fameux Ramen!!
Je vous conseille l'endroit! (Translated by Google)
What a nice surprise!!
Welcoming and friendly staff, beautiful atmosphere, disgusting food!! Fast service!! I ate the Mee Kola and it was delicious!!! We are going back for sure and this time I am trying the famous Ramen!!
I recommend the place!
     
"
254,J_ AM,ChdDSUhNMG9nS0VJQ0FnSUNDdDZ6aGhnRRAB,https://www.google.com/maps/contrib/114312222944939797508/reviews?hl=en-US,1,       2 years ago      ,"        English below Je suis tellement déçue par cette expérience culinaire, soit la nourriture ne goûte rien ou elle est trop épicée. Il n'y a pas de juste milieu. Le tofu est sans saveur et la poutine est tellement épicée que l'on peut cracher du feu après en avoir manger.  Ils ne répondent pas au téléphone et s'ils répondent, ils doivent vérifier avec le gérant pour de simples demandes. Je ne suggère pas ce restaurant. Il y a de meilleurs restaurants à Montréal qui offrent de meilleurs choix et un meilleur prix. N'y allez pas! I am extremely disappointed by this experience, the food is either too bland or spicy. There is no middle ground. The tofu is tasteless and you could breathe fire after eating the poutine. They do not answer their phone and if they do, they have to check with the manager for any simple demand. I would not suggest this restaurant. There are many other restaurants that offer better food and better prices. Do not go there! (Translated by Google)
English below I'm so disappointed with this dining experience, either the food tastes nothing or it's too spicy. There is no middle ground. The tofu is tasteless and the poutine is so spicy you can spit fire after eating it. They don't answer the phone and if they answer they have to check with the manager for simple requests. I do not suggest this restaurant. There are better restaurants in Montreal that offer better choices and a better price. Do not go! I am extremely disappointed by this experience, the food is either too bland or spicy. There is no middle ground. The tofu is tasteless and you could breathe fire after eating the poutine. They do not answer their phone and if they do, they have to check with the manager for any simple request. I would not suggest this restaurant. There are many other restaurants that offer better food and better prices. Do not go there!
     
"
255,E. C.,ChZDSUhNMG9nS0VJQ0FnSUNlNU43UlBREAE,https://www.google.com/maps/contrib/107739174884064333705/reviews?hl=en-US,5,       3 months ago      ,"        Super ambiance. On a envie d'essayer des plats spéciaux qu'ils font. Le look du resto est ''kitch cool"" j'adore (Translated by Google)
Great atmosphere. You want to try special dishes they make. The look of the restaurant is ''kitch cool"" I love it
     
"
256,Amélie Gauthier,ChdDSUhNMG9nS0VJQ0FnSUNvc2FQdXRRRRAB,https://www.google.com/maps/contrib/105320986860300658578/reviews?hl=en-US,5,       3 years ago      ,"        Super cool, délicieux et abordable.
Ce petit secret de quartier ressemble à un restaurant démodé de l'extérieur et pourtant quand on arrive au sous sol la deco est élaborée, la musique branchée et le staff aussi. Le menu propose une cuisine fusion inspirée de l'Asie (Japon, Inde, Birmanie...) parfaitement exécutée, un régal! (Translated by Google)
Super cool, delicious and affordable.
This little neighborhood secret looks like an old-fashioned restaurant from the outside and yet when you get to the basement the decor is elaborate, the music trendy and the staff too. The menu offers fusion cuisine inspired by Asia (Japan, India, Burma...) perfectly executed, a treat!
     
"
257,Gabrielle Marchand,ChZDSUhNMG9nS0VJQ0FnSUNlNHYyaFZnEAE,https://www.google.com/maps/contrib/101483377882669560895/reviews?hl=en-US,5,       3 months ago      ,"        Excellent service, ça été rapide de se faire assigner une table, les prix très résonable moins de 20$ tx et pourboire inclu pour un gros bol de Pho, qui était délicieux! (Translated by Google)
Excellent service, it was quick to get a table assigned, very resonable prices less than $20 tx and tip included for a big bowl of Pho, which was delicious!
     
"
258,Mathieu Archambault,ChdDSUhNMG9nS0VJQ0FnSUMta3NTcTdBRRAB,https://www.google.com/maps/contrib/110283760778680688609/reviews?hl=en-US,5,       a month ago      ,"        Vraiment délicieux! Nous étions trois et nous avons aucun mauvais commentaires. C’était une belle expérience culinaire! (Translated by Google)
Really tasty! We were three and we have no bad comments. It was a great dining experience!
     
"
259,Marco Brunelle,ChdDSUhNMG9nS0VJQ0FnSUR1Mk52QXFnRRAB,https://www.google.com/maps/contrib/102816528747522525002/reviews?hl=en-US,5,       4 months ago      ,"        DÉLICIEUX! Poutine kimchi et Lomo Saltador! Vous ne vous tromperez pas! L’ambiance est relaxe et branchée, endroit visité par la plèbe locale… Souvent un gage de qualité! 😉 (Translated by Google)
DELICIOUS! Poutine kimchi and Lomo Saltador! You won't go wrong! The atmosphere is relaxed and trendy, a place visited by the local plebs… Often a guarantee of quality! 😉
     
"
260,Felix Letourneau,ChZDSUhNMG9nS0VJQ0FnSUR1dmZiOVRnEAE,https://www.google.com/maps/contrib/117078332909373784104/reviews?hl=en-US,5,       3 months ago      ,"        Très belle découverte ! Les plats sont excellents tout comme le service! On y retourne assurément😊 (Translated by Google)
Very nice discovery! The food is excellent as is the service! We are definitely going back 😊
     
"
261,Teressa Hernandez,ChZDSUhNMG9nS0VJQ0FnSUN5OGFIYWNREAE,https://www.google.com/maps/contrib/102993091493826719086/reviews?hl=en-US,5,       a year ago      ,"        Le chef de ce restaurant est très clairement un génie culinaire. Rien de moins. Une explosion parfaite de saveurs. J'avais pris le Burger banh mi, est c'était tout simplement renversant! Même la salade, qui est à mes yeux un side dish ennuyant était un délice! 😍🤤 (Translated by Google)
The chef of this restaurant is clearly a culinary genius. Nothing less. A perfect explosion of flavors. I had had the Banh Mi Burger, and it was simply stunning! Even the salad, which to me is a boring side dish was a delight! 😍🤤
     
"
262,Pierre-Olivier Jetté,ChZDSUhNMG9nS0VJQ0FnSUNzeXYyOElREAE,https://www.google.com/maps/contrib/106719016280464486121/reviews?hl=en-US,5,       2 years ago      ,"        Un menu original super bien exécuté ! Un service hors pair et une ambiance super confortable!  Une expérience réussie sur toute la ligne ! Bravo team Tonki . I'll be back very soon !!! (Translated by Google)
An original menu super well executed! Outstanding service and a super comfortable atmosphere! A successful experience across the board! Bravo team Tonki. I'll be back very soon !!!
     
"
263,Camille Eisenblaetter,ChdDSUhNMG9nS0VJQ0FnSURtNVp5WXRnRRAB,https://www.google.com/maps/contrib/114413858147827282487/reviews?hl=en-US,5,       10 months ago      ,"        Je recommande !! Un super service dans un bel endroit et de très bon plats. Il y aussi de chouettes options véganes 🌱 (Translated by Google)
I recommend !! A great service in a beautiful place and very good food. There are also great vegan options 🌱
     
"
264,Camille Gélinas-Fafard,ChZDSUhNMG9nS0VJQ0FnSUNPOVBDbldREAE,https://www.google.com/maps/contrib/100296107760204901250/reviews?hl=en-US,5,       6 months ago      ,"        Déco cool, bon service, bonne bouffe pas chère! On a passé un bon moment! (Translated by Google)
Cool decor, good service, good inexpensive food! We had a great time!
     
"
265,Laetitia Boonsri-Beaudet,ChdDSUhNMG9nS0VJQ0FnSUQtMktYMHR3RRAB,https://www.google.com/maps/contrib/106357305559302218775/reviews?hl=en-US,5,       a month ago      ,"        Nourriture exceptionnelle, merci aux propositions de Simon. Très bon service de sa part, nous reviendrons bientôt xx (Translated by Google)
Exceptional food, thanks to Simon's suggestions. Very good service from him, we will be back soon xx
     
"
266,Clément lemaitre,ChdDSUhNMG9nS0VJQ0FnSUNZNkpmNXlnRRAB,https://www.google.com/maps/contrib/117277422589120180020/reviews?hl=en-US,5,       3 years ago      ,"        Wouah !!!! Une super découverte gastronomique. Ce restaurant revisite des plats Vietnamiens à la québécoise. Chaque plat, chaque cocktail à une signification. Le concepte est génial et c'est une pure réussite. Le rapport qualité / prix est excellent. Le service est impeccable dans un cadre chaleureux. En us, ce sont les gagnants de la poutine week !!! Je vous invite à goûter leur fameuse poutine, elle est incroyable. (Translated by Google)
Wow !!!! A great gastronomic discovery. This restaurant revisits Vietnamese dishes à la Québécoise. Each dish, each cocktail has a meaning. The concept is great and it's pure success. The quality to price ratio is excellent. The service is impeccable in a warm setting. In us, they are the winners of the poutine week !!! I invite you to taste their famous poutine, it is incredible.
     
"
267,Nickolas Sacolax,ChdDSUhNMG9nS0VJQ0FnSURPeHZqcnpnRRAB,https://www.google.com/maps/contrib/107532178684757713899/reviews?hl=en-US,5,       5 months ago      ,"        Merveilleuse découverte! Ambiance sympathique, nourriture vraiment délicieuse, bon service, bon vin. Nous y retournerons assurément! (Translated by Google)
Wonderful discovery! Friendly atmosphere, really delicious food, good service, good wine. We will definitely go back!
     
"
268,Jimmy Fitzback,ChdDSUhNMG9nS0VJQ0FnSURnNmJXU293RRAB,https://www.google.com/maps/contrib/102173544664693954779/reviews?hl=en-US,4,       4 years ago      ,"        Le personnel est vraiment sympathique!
L'éclairage était pas super...mais c'est pas pour ça qu'on va au restaurant!
J'ai juste mangé la poutine Kimcheesy et bu un drink mais c'était suffisant pour me convaincre du retourner, surtout à ce prix là!
Beau, bon, pas cher!
Merci La Belle Tonkinoise! (Translated by Google)
The staff is really friendly!
The lighting wasn't great...but that's not why we go to a restaurant!
I just ate the Kimcheesy poutine and had a drink but that was enough to convince me to go back, especially at that price!
Beautiful, good, cheap!
Thank you La Belle Tonkinoise!
     
"
269,Van Phuong Francoise Khan,ChZDSUhNMG9nS0VJQ0FnSUNndzlYOUpnEAE,https://www.google.com/maps/contrib/110003599152740378888/reviews?hl=en-US,5,       5 years ago      ,"        Vous cherchez un petit restaurant pour amener votre doux moitie et grand-maman en même temps? Pourquoi? La Belle Tonkinoise est le meilleur des deux mondes.
1. Un petit resto de quartier, donc le décor, minimaliste, mais tout à la fois chaleureux. Vous vous sentirez comme à la maison. Dès que vous entrez, vous êtes accueilli avec le plus grand sourire par Anh, serveuse et maman de Michel, co-propriétaire de la place. 2. Les plats ont été imaginé et revu par Michel, le 2e co-propriétaire, qui est en cuisine.
Sur le menu, nous y retrouvons les classiques d'un restaurant asiatique, mais aussi plusieurs mets ""comfort food"" avec un twist asiatique.
Le doux moitié et grand-maman pourraient même partager les ailes de poulet (un must, C'EST UN DÉLICE!) au Mee Kola, une belle surprise qui nous vient du Cambodge. Je retournerai définitivement à ce restaurant pour une soirée ""comfort food asiat"", mais aussi pour manger leurs plats sur l'ardoise, qui changent constamment. (Translated by Google)
Are you looking for a small restaurant to bring your sweet half and grandma at the same time? Why? La Belle Tonkinoise is the best of both worlds.
1. A small neighborhood restaurant, so the decor, minimalist, but at the same time warm. You will feel right at home. As soon as you enter, you are greeted with the biggest smile by Anh, waitress and mother of Michel, co-owner of the place. 2. The dishes were imagined and reviewed by Michel, the second co-owner, who is in the kitchen.
On the menu, we find the classics of an Asian restaurant, but also several ""comfort food"" dishes with an Asian twist.
The sweet half and grandma could even share the chicken wings (a must, IT'S A DELIGHT!) At Mee Kola, a nice surprise that comes to us from Cambodia. I will definitely return to this restaurant for an ""Asian comfort food"" evening, but also to eat their dishes on the slate, which are constantly changing.
     
"
270,Olivier Lam,ChZDSUhNMG9nS0VJQ0FnSUNncE56b0FnEAE,https://www.google.com/maps/contrib/117210039794165491370/reviews?hl=en-US,4,       2 years ago      ,"        Un repas thaï réinventé. On y retrouve une sélection classic de repas thaïlandais en plus d’offrir un menu très original propre à ce restaurant. Ils ont remixé un burger et une poutine en les mélangeant aux ingrédients asiatiques et c’est excellent. Je recommande fortement le burger et la poutine.
Ce restaurant est un classic Montréalais et vous devez passer y faire un tour. (Translated by Google)
A Thai meal reinvented. It offers a classic selection of Thai meals in addition to offering a very original menu specific to this restaurant. They remixed a burger and a poutine, mixing them with Asian ingredients and it's excellent. I highly recommend the burger and poutine.
This restaurant is a classic Montrealer and you must stop by.
     
"
271,Michaël Bégin,ChdDSUhNMG9nS0VJQ0FnSUNtcE9pbThBRRAB,https://www.google.com/maps/contrib/114096904979027952362/reviews?hl=en-US,5,       a year ago      ,"        La nourriture est vraiment excellente. Ils maîtrisent parfaitement la cuisine fusion asiatique. Le menu est super original et les cocktails sont à essayer absolument. En plus le staff est vraiment sympathique! Un des meilleurs restaurants du quartier. (Translated by Google)
The food is really excellent. They have a perfect command of Asian fusion cuisine. The menu is super original and the cocktails are a must try. In addition the staff is really nice! One of the best restaurants in the area.
     
"
272,Lucie Blazkowski,ChZDSUhNMG9nS0VJQ0FnSURtbl9tQ1lnEAE,https://www.google.com/maps/contrib/102131550558927949730/reviews?hl=en-US,5,       10 months ago      ,"        J'adore la Belle Tonki!! C'est un endroit où je suis assurée de passer une bonne soirée, autant en tête-à-tête qu'en groupe. L'ambiance est énergique et agréable. Le staff est toujours très sympathique et chaleureux. Les plats sont délicieux!!!!!!!
JE RECOMMANDE 100% (Translated by Google)
I love Belle Tonki!! It's a place where I'm sure to spend a good evening, both one-on-one and in a group. The atmosphere is energetic and pleasant. The staff is always very friendly and warm. The food is delicious!!!!!!!
I RECOMMEND 100%
     
"
273,Élisabeth Daigle,ChZDSUhNMG9nS0VJQ0FnSURXeVBlSlJ3EAE,https://www.google.com/maps/contrib/104559503544168615904/reviews?hl=en-US,2,       9 months ago      ,"        C'est extrêmement dommage qu'ils refusent de prendre nos plats lorsqu'on les amène et qu'ils emballent tout dans des contenants de plastique, le tout dans un sac de plastique. C'est malheureux car la nourriture y est excellente, mais nous n'y retournerons pas. C'est une aberration en 2022 de ne pas accepter de ne pas créer de déchets. (Translated by Google)
It is extremely unfortunate that they refuse to take our dishes when we bring them and that they wrap everything in plastic containers, all in a plastic bag. It's unfortunate because the food there is excellent, but we won't be going back. It is an aberration in 2022 not to agree not to create waste.
     
"
274,emmanuel ternize,ChZDSUhNMG9nS0VJQ0FnSUNRMEtDQ1BnEAE,https://www.google.com/maps/contrib/111000726864900294690/reviews?hl=en-US,5,       4 years ago      ,"        La nourriture est vraiment bonne! C'est un restaurant à visiter lors de la poutine week! (Translated by Google)
The food is really good! It is a restaurant to visit during poutine week!
     
"
275,Giraffe Bleue,ChZDSUhNMG9nS0VJQ0FnSURXc3A2eVNnEAE,https://www.google.com/maps/contrib/113178160673282239072/reviews?hl=en-US,5,       9 months ago      ,"        Nous y sommes allé, pour la fête d'une amie, avec un groupe de 14 personnes. Ça fait une quinzaine d'années qu'on mange dans différents restos, pour sa fête et franchement, ça été notre meilleure expérience. Nous avions un menu prédéterminé (ce qui me rendait craintive) mais tout était absolument dé-li-cieux. Les amis végé ont été accomodés. Les cocktails et les choix de vins étaient bons. Le staff était éfficace et sympathique. La proprio a même fait des pieds et des mains pour réussir à faire jouer une chanson pour l'arrivée du dessert. Rien à redire. t
Tout était parfait! (Translated by Google)
We went there for a friend's birthday with a group of 14 people. We've been eating in different restaurants for fifteen years for her birthday and frankly, it was our best experience. We had a pre-determined menu (which made me apprehensive) but everything was absolutely de-li-cious. Veggie friends have been accommodated. Cocktails and wine choices were good. The staff was efficient and friendly. The owner even went out of her way to manage to play a song for the arrival of dessert. No complaints. you
Everything was perfect!
     
"
276,s Jcole,ChdDSUhNMG9nS0VJQ0FnSURJLU9HNzhBRRAB,https://www.google.com/maps/contrib/107837318680975532517/reviews?hl=en-US,5,       3 years ago      ,"        Personels très amicales! La soupe Tom Yum EXCELLENTE. Plat funky excellent! Je suis allé avec mon père nous avons appréciés notre soiré avec l'hôte et le serveur qui nous ont donnée un excellent service ! On y retournera sûrement. Merci Beaucoup. Nous avons passé une excellente soirée père-fille. PS. Sauce épicé HAITIAN APPPROVED. (Translated by Google)
Very friendly staff! EXCELLENT Tom Yum soup. Great funky dish! I went with my father we enjoyed our evening with the host and the waiter who gave us excellent service! We will surely go back there. Thank you very much. We had a great father-daughter night. PS. HAITIAN APPPROVED spicy sauce.
     
"
277,nicolas moral,ChZDSUhNMG9nS0VJQ0FnSUR1eGZMOEJBEAE,https://www.google.com/maps/contrib/106169884040194978664/reviews?hl=en-US,5,       3 months ago      ,"        Fusion tonkinois-québécois, un délice dans l'assiette et dans le verre !!
Ambiance années 90, un vrai plaisir en salle et aux toilettes =D
Vivement la prochaine visite ! (Translated by Google)
Tonkinese-Quebecois fusion, a delight on the plate and in the glass!!
90s atmosphere, a real pleasure in the dining room and in the toilets =D
Looking forward to the next visit!
     
"
278,Mathieu Marsolais,ChZDSUhNMG9nS0VJQ0FnSUNlX2UyeUJ3EAE,https://www.google.com/maps/contrib/108772943405475041881/reviews?hl=en-US,5,       2 months ago      ,"        Wow!!! La poutine Sate Drip est vraiment mon coup de coeur 😍 meilleure poutine de Montréal! (Translated by Google)
wow!!! The Sate Drip poutine is really my favorite 😍 best poutine in Montreal!
     
"
279,Big Bong,ChZDSUhNMG9nS0VJQ0FnSUMydnFyc0F3EAE,https://www.google.com/maps/contrib/100944516307387019933/reviews?hl=en-US,5,       7 months ago      ,"        Super ambiance ! Les fans d’anime et de manga se retrouveront dans leur élément. Le menu peut sembler limité mais tout ce qui y figure saura combler toutes les attentes. Je recommande l’aubergine, pour ceux qui apprécient les entrées épicées. (Translated by Google)
Great atmosphere! Anime and manga fans will find themselves in their element. The menu may seem limited but everything on it will meet all expectations. I recommend eggplant, for those who like spicy starters.
     
"
280,Emilie Arsenault,ChZDSUhNMG9nS0VJQ0FnSUNXcnUyWkNnEAE,https://www.google.com/maps/contrib/111359099673907132345/reviews?hl=en-US,5,       9 months ago      ,"        ✅️ INCROYABLEMENT CHALEUREUX COMME ENDROIT !!! 😍😍😍 La musique, l'ambiance, les employés sont ça coche. ✅️ Et que dire des REPAS, à chaque fois que j'ivais, je ne sais jamais quoi choisir puisque TOUT EST ABSOLUMENT DÉLICIEUX. 😋 💭 Chaque fois que j'ai la chance de faire découvrir ce restaurant, je le fais sans hésitation. 💯 (Translated by Google)
✅️ INCREDIBLY WARM LOCATION!!! 😍😍😍 The music, the atmosphere, the employees are ticking. ✅️ And what about MEALS, every time I go, I never know what to choose since EVERYTHING IS ABSOLUTELY DELICIOUS. 😋 💭 Whenever I have the chance to introduce this restaurant, I do it without hesitation. 💯
     
"
281,Eric Bélanger,ChdDSUhNMG9nS0VJQ0FnSUNzLTlYWXVRRRAB,https://www.google.com/maps/contrib/105773479809857556603/reviews?hl=en-US,5,       2 years ago      ,"        Excellent repas, superbe ambiance, service personnalisé et avenant. Une belle découverte! On y reviendra certainement! (Translated by Google)
Excellent meal, superb atmosphere, personalized and friendly service. A great discovery! We will definitely come back!
     
"
282,Alix Bouchard,ChZDSUhNMG9nS0VJQ0FnSUNBdk5YNFJnEAE,https://www.google.com/maps/contrib/109932727210162720647/reviews?hl=en-US,5,       4 years ago      ,"        La bouffe, l'ambiance et le service sont excellent ! Une ""belle"" place en effet! (Translated by Google)
The food, atmosphere and service are excellent! A ""beautiful"" place indeed!
     
"
283,Magali Paquette-Torres,ChdDSUhNMG9nS0VJQ0FnSURtMTRUcjZRRRAB,https://www.google.com/maps/contrib/113145434062126373240/reviews?hl=en-US,5,       10 months ago      ,"        Ça faisait longtemps que je n'avais pas eu une aussi belle expérience dans un restaurant. Décor, ambiance, service, qualité du repas, qualité vde la musique. Tout est mis en place pour qu'on y passe une belle soirée et qu'on s'y sente accueilli. (Translated by Google)
It's been a long time since I had such a great experience in a restaurant. Decor, atmosphere, service, quality of the meal, quality of the music. Everything is set up so that you can spend a nice evening there and feel welcome.
     
"
284,Le Ouim,ChZDSUhNMG9nS0VJQ0FnSUNHemU2MEd3EAE,https://www.google.com/maps/contrib/108044255544752998419/reviews?hl=en-US,5,       a year ago      ,"        Excellente poutines épicées! Bien grasse et juteuse comme on les aime! Les drinks sont bien corsé, ou même très viril comme dirait monsieur le serveur. Très sympathique ce gus soit dit en passant (Translated by Google)
Excellent spicy poutines! Very fat and juicy as we like them! The drinks are full bodied, or even very manly as the waiter would say. Very nice this guy by the way
     
"
285,Marie-Claude “MC” Dion,ChdDSUhNMG9nS0VJQ0FnSURHbWVlSHJRRRAB,https://www.google.com/maps/contrib/116767044289576947009/reviews?hl=en-US,5,       a year ago      ,"        J'ai vraiment adoré l'endroit, l'ambiance, nourriture et que dire du service! Des gens vraiment à l'écoute, agréables avec un superbe sourire. Je travaille avec un masque toute la journée, alors je connais! Pis ça se voit dans les yeux un sourire accueillant, malgré le masque en effet! 😉 Merci
Fortement recommandé (Translated by Google)
I absolutely loved the place, the ambiance, the food and what about the service! People really attentive, pleasant with a superb smile. I work with a mask all day, so I know! Worse it shows in the eyes a welcoming smile, despite the mask indeed! 😉 Thank you
Strongly recommended
     
"
286,Pauline Prevot,ChdDSUhNMG9nS0VJQ0FnSUNHbjhMUmhRRRAB,https://www.google.com/maps/contrib/107822255295530873388/reviews?hl=en-US,5,       a year ago      ,"        Belle découverte, les plats sont délicieux, les prix sont vraiment correct. Je recommande à 100% (Translated by Google)
Nice discovery, the dishes are delicious, the prices are really correct. I recommend 100%
     
"
287,Charlotte Cordier,ChZDSUhNMG9nS0VJQ0FnSURhN3BfVEd3EAE,https://www.google.com/maps/contrib/101223898439553596751/reviews?hl=en-US,5,       a year ago      ,"        Une nourriture réconfortante et délicieuse. Un staff au top. Le service est impeccable, agréable et personnalisé. Un de mes restos préférés dans le quartier. À essayer si vous aimez les plats épicés : la salade d'aubergines. (Translated by Google)
Comforting and delicious food. A staff at the top. The service is impeccable, pleasant and personalized. One of my favorite restaurants in the neighborhood. To try if you like spicy dishes: the eggplant salad.
     
"
288,Marie B.,ChdDSUhNMG9nS0VJQ0FnSUQyM2V6UWhRRRAB,https://www.google.com/maps/contrib/106008624780288994182/reviews?hl=en-US,5,       6 months ago      ,"        La bouffe est super! Le staff est chaleureux et attentionné. Le service est rapide.
Un excellent choix pour passer une bonne soirée! (Translated by Google)
The food is great! The staff is warm and attentive. The service is fast.
An excellent choice for a good evening!
     
"
289,Lou-Anne Guillemet,ChZDSUhNMG9nS0VJQ0FnSURJcF83NEVREAE,https://www.google.com/maps/contrib/116058698421644789134/reviews?hl=en-US,5,       3 years ago      ,"        Je m'attendais a rien mais c'était vraiment une ambiance décontractée et très sympa. Ma poutine au kimchi était délicieuse (Translated by Google)
I was expecting nothing but it was really a laid back atmosphere and very friendly. My kimchi poutine was delicious
     
"
